id,Title,URL,Description,sentiment,confidence
0,"In industry first, GSK&#39;s PD-1 trial hits overall survival goal",https://www.fiercepharma.com/pharma/gsks-jemperli-prolongs-life-endometrial-cancer-trial-will-fda-expansion-come-next,"By Angus Liu Oct 30, 2023 2:00am GSK Jemperli PD-1/L1 endometrial cancer GSK&#39;s Jemperli has become the first cancer immunotherapy to show a significant benefit in prolonging patients&#39; lives in the...",positive,0.9236165881156921
1,Correction: A competing risk joint model for dealing with different ...,https://alzres.biomedcentral.com/articles/10.1186/s13195-023-01290-x,"Correction: A competing risk joint model for dealing with different types of missing data in an intervention <b>trial</b> in prodromal Alzheimer’s disease. Floor M. van Oudenhoven 1,2, Sophie H. N. Swinkels 2, Hilkka Soininen 3,4, Miia Kivipelto 3,5,6,7,8, Tobias Hartmann 9,10 &amp; Dimitris Rizopoulos 1; on behalf of the LipiDiDiet <b>clinical</b> study group ...",neutral,0.9011703133583069
2,First Patient Enrolled in Phase III Clinical Trial of Boan Biotech&#39;s ...,https://themalaysianreserve.com/2023/10/30/first-patient-enrolled-in-phase-iii-clinical-trial-of-boan-biotechs-nivolumab-injection/,"YANTAI, China, Oct. 30, 2023 /PRNewswire/ — Boan Biotech (6955.HK) announced today that the first patient in Phase III <b>clinical</b> <b>trial</b> of its Nivolumab Injection (BA1104) in China has been enrolled. BA1104 is the first biosimilar to Opdivo ® to undergo a Phase III study in China.. Nivolumab is a monoclonal antibody that can enhance the immune response of T cells against tumors by preventing ...",neutral,0.7209286689758301
3,Novartis says drug candidate is successful in rare kidney disease trial ...,https://www.reuters.com/business/healthcare-pharmaceuticals/novartis-says-drug-candidate-is-successful-rare-kidney-disease-trial-2023-10-30/,"FRANKFURT, Oct 30 (Reuters) - Novartis (NOVN.S) said its experimental drug atrasentan was shown to have a positive effect on kidney function in people suffering from a rare type of kidney disease...",positive,0.9482987523078918
4,Antibiotics | Free Full-Text | Development of Biocompatible Ga2 ... - MDPI,https://www.mdpi.com/2079-6382/12/11/1578/html,"Recently, Ga(NO 3) 3, a <b>clinical</b> drug initially approved by the <b>FDA</b> for the treatment of hypocalcemia in cancer patients, has successfully completed a phase II <b>clinical</b> <b>trial</b> for the treatment of chronic lung infections by P. aeruginosa in cystic fibrosis patients .",positive,0.8911572098731995
5,Clinical Trial Supply and Logistics Market Landscape ... - LinkedIn,https://www.linkedin.com/pulse/clinical-trial-supply-logistics-market-landscape-bpjjf/,"The global <b>Clinical</b> <b>Trial</b> Supply and Logistics market size was valued at USD 3991.78 million in 2022 and is expected to expand at a CAGR of 7.89% during the forecast period, reaching USD 6296.05 ...",positive,0.9334651827812195
6,TALAPRO-3 clinical trial protocol: phase III study of talazoparib plus ...,https://www.urotoday.com/recent-abstracts/urologic-oncology/prostate-cancer/147685-talapro-3-clinical-trial-protocol-phase-iii-study-of-talazoparib-plus-enzalutamide-in-metastatic-castration-sensitive-prostate-cancer.html,"<b>Clinical</b> <b>Trial</b> Registration:NCT04821622 (ClinicalTrials.gov) Registry Name: Study of Talazoparib With Enzalutamide in Men With DDR Gene Mutated mCSPC. Date of Registration: 29 March 2021. Future oncology (London, England). 2023 Oct 26 [Epub ahead of print]",neutral,0.9406171441078186
7,Pfizer Hid Almost 80% Of Covid Vaccine Trial Deaths From Regulators,https://www.planet-today.com/2023/10/pfizer-hid-almost-80-of-covid-vaccine.html,The Defender reports: Pfizer-BioNTech delayed reporting vaccine-associated deaths among BNT162b2 <b>clinical</b> <b>trial</b> participants until after the U.S. Food and Drug Administration (<b>FDA</b>) issued an Emergency Use Authorization (EUA) for the product. The vaccine makers also failed to account for a large number of subjects who dropped out of the <b>trial</b>.,negative,0.9538610577583313
8,Advances in blood cancer treatments - ABC listen,https://www.abc.net.au/listen/programs/healthreport/advances-in-blood-cancer-treatments/103038388,"Blood cancers often affect people younger than the average person who develops cancer, and Australian and New Zealand haematologists have been pioneers in trialling new treatments—this year ...",neutral,0.742926836013794
9,Amplia’s pancreatic cancer trial boost - The Advertiser,https://www.adelaidenow.com.au/business/stockhead/asx-health-stocks-amplias-pancreatic-cancer-trial-boost-emyria-mdma-therapy-step-closer/news-story/6b597d3f85739d0112b2c63332f56a37,Amplia Therapeutics (ASX:ATX) has reported promising <b>clinical</b> data from its Phase 1B portion of the ACCENT <b>trial</b> in pancreatic cancer.,positive,0.9496995806694031
10,First Patient Enrolled in Phase III Clinical Trial of Boan ... - AsiaOne,https://www.asiaone.com/business/first-patient-enrolled-phase-iii-clinical-trial-boan-biotechs-nivolumab-injection,"YANTAI, China, Oct. 30, 2023 /PRNewswire/ -- Boan Biotech (6955.HK) announced today that the first patient in Phase III <b>clinical</b> <b>trial</b> of its Nivolumab Injection (BA1104) in China has been enrolled.",neutral,0.7910605072975159
11,First Patient Enrolled in Phase III Clinical Trial of Boan Biotech’s ...,https://portal.sina.com.hk/finance/finance-prnewswire/prnasia/2023/10/30/599412/first-patient-enrolled-in-phase-iii-clinical-trial-of-boan-biotechs-nivolumab-injection/,"YANTAI, China, Oct. 30, 2023 /PRNewswire/ — Boan Biotech (6955.HK) announced today that the first patient in Phase III <b>clinical</b> <b>trial</b> of its Nivolumab Injection (BA1104) in China has been enrolled. BA1104 is the first biosimilar to Opdivo ® to undergo a Phase III study in China.. Nivolumab is a monoclonal antibody that can enhance the immune response of T cells against tumors by preventing ...",neutral,0.6887168288230896
12,Burning Rock and Boehringer Ingelheim Achieved a Master ... - Benzinga,https://www.benzinga.com/pressreleases/23/10/g35484116/burning-rock-and-boehringer-ingelheim-achieved-a-master-service-agreement-in-oncology-companion-di,"This partnership will primarily focus on advancing the <b>clinical</b> <b>trials</b> related to Boehringer Ingelheim&#39;s MDM2-p53 antagonist, brigimadlin (BI 907828), and the development of companion diagnostic ...",positive,0.5803391337394714
13,Tumorad&#39;s potential in transforming cancer care - BioStock,https://www.biostock.se/2023/10/tumorads-potential-in-transforming-cancer-care/,"Significant market potential. According to Precedence Research, the global cancer therapeutics market size is predicted to surpass USD 366 billion by 2030 and grow at a CAGR of 9.1 per cent from 2022 to 2030. Tumorad offers a proposition that could allow Spago to position itself in this booming sector. The technology promises to add a layer of ...",positive,0.901089608669281
14,Novartis investigational atrasentan Phase III study demonstrates ...,https://uk.finance.yahoo.com/news/novartis-investigational-atrasentan-phase-iii-061500278.html,"The addition of these two late-stage medicines, as well as an early-stage <b>pipeline</b>, ... (NCT04573478) is a global, randomized, multicenter, double-blind, placebo-controlled Phase III <b>clinical</b> <b>trial</b> comparing the efficacy and safety of atrasentan versus placebo in patients with IgAN at risk of progressive loss of kidney function 11,12.",positive,0.6888076663017273
15,DelveInsight Unveils Comprehensive Ocular Hypertension - openPR.com,https://www.openpr.com/news/3267767/delveinsight-unveils-comprehensive-ocular-hypertension,"(Las Vegas, Nevada, United States) As per DelveInsight&#39;s assessment, globally, Type 1 Diabetes <b>pipeline</b> constitutes 80+ key companies continuously working towards developing 100+ Type 1 Diabetes...",positive,0.5953096151351929
16,BNR and BI Achieved a Master Service Agreement | Shares Magazine,https://www.sharesmagazine.co.uk/news/market/LSE20231030070917_4952197/bnr-and-bi-achieved-a-master-service-agreement,"With the formal approval of the Brightline-2 <b>clinical</b> <b>trial</b>, the safety and efficacy of brigimadlin will undergo further validation. Burning Rock will leverage its dual-center, internationally accredited laboratory, a global companion diagnostics registration <b>pipeline</b>, a comprehensive biomarker development solution for drug research, and its ...",positive,0.8421735167503357
17,New £100 Million Fund To Capitalise On AIs Game-changing Potential In ...,https://caithness-business.co.uk/article/21750,"This funding will help us to invest in parts of the UK where the <b>clinical</b> needs are greatest to test and <b>trial</b> new technologies within the next 18 months. Over the next 5 years, we will transform mental health research through developing world-class data infrastructure to improve the lives of those living with mental health conditions.",positive,0.7367063164710999
18,Revolutionizing Sickle Cell Disease Treatment Pipeline: 2023 - openPR.com,https://www.openpr.com/news/3267776/revolutionizing-sickle-cell-disease-treatment-pipeline-2023,"(Albany, USA) DelveInsight&#39;s &#39;Sickle Cell Disease <b>Pipeline</b> Insight 2023&#39; report provides comprehensive global coverage of available, marketed, and <b>pipeline</b> Sickle Cell Disease therapies in...",neutral,0.7246429920196533
19,How To Follow Up After A Demo And Close Deals [+7 Templates],https://www.klenty.com/blog/follow-up-email-after-a-demo/,"Template #1: Free <b>Trial</b> Follow-up. This template is designed to help you ride the momentum of a smooth and successful demo. The next step would be to cement this positive experience with a free <b>trial</b> and/or a hyper-care phase, so your customers feel confident and supported when they start their journey with your product.",neutral,0.5829154253005981
20,Emerging Translational Research in Neurological and Psychiatric ... - MDPI,https://www.mdpi.com/1422-0067/24/21/15739,"Revealing the underlying pathomechanisms of neurological and psychiatric disorders, searching for new biomarkers, and developing novel <b>therapeutics</b> all require translational <b>research</b> [].In vivo and in vitro models have been instrumental in elucidating complex polygenic, multifactorial, and heterogeneous mechanisms [].In recent years, advanced preclinical models have revealed the intriguing ...",neutral,0.7481427788734436
21,How Alterity Therapeutics Limited is Shaping the Future of Medicine,https://www.claytoncountyregister.com/news2/how-alterity-therapeutics-limited-is-shaping-the-future-of-medicine/339728/,"Alterity <b>Therapeutics</b> Limited is a pioneering biotechnology company that is making significant strides in the field of medical <b>research</b> and development. With a focus on neurodegenerative diseases, Alterity <b>Therapeutics</b> is dedicated to finding innovative solutions to some of the most pressing health challenges of our time.",positive,0.5185626745223999
22,Novartis says drug candidate is successful in rare kidney disease trial,https://news.yahoo.com/novartis-says-drug-candidate-successful-074228105.html,"Novartis said its experimental drug atrasentan was shown to have a positive effect on kidney function in people suffering from a rare type of kidney disease in an interim analysis of a late-stage drug trial. Treatment with the drug candidate, acquired as part of the purchase of U.S. biotech firm Chinook <b>Therapeutics</b> for up to $3.5 billion, resulted in a clinically meaningful improvement in ...",positive,0.9547863602638245
23,Laverock Therapeutics secures Innovate UK award to advance immune ...,https://www.pharmiweb.com/press-release/2023-10-30/laverock-therapeutics-secures-innovate-uk-award-to-advance-immune-effector-cell-therapeutics-program,"Laverock <b>Therapeutics</b> secures £1m funding via the Innovate UK Investor Partnerships Future Economy programme, supported by UKI2S. London, UK, 30th October 2023 / Sciad Newswire / Laverock <b>Therapeutics</b>, developer of a unique gene silencing platform for the creation of programmable advanced therapies, is pleased to announce that it has been awarded £1m in funding, made up of a £700k grant ...",positive,0.9047306180000305
24,"Georgiamune, Verily ink strategic partnership to advance novel cancer ...",http://www.pharmabiz.com/NewsDetails.aspx?aid=163286&sid=2,"Monday, October 30, 2023, 11:00 Hrs [IST] Georgiamune, a privately held, clinical stage biotechnology company, and Verily, an Alphabet precision health technology company, announced a strategic partnership to advance novel <b>therapeutics</b> for patients with cancer.",positive,0.8381388187408447
25,miR-3195 suppresses the malignant progression of osteosarcoma cells via ...,https://josr-online.biomedcentral.com/articles/10.1186/s13018-023-04321-3,"Background Osteosarcoma (OS) is a highly invasive primary malignancy of the bone that is common in children and adolescents. MicroRNAs (miRNAs) are novel diagnostic and predictive biomarkers for cancers. The miRNA miR-3195 is aberrantly expressed in multiple types of tumors. However, the expression levels and biological functions of miR-3195 in OS remain unclear. Methods Two Gene Expression ...",neutral,0.9248167872428894
26,Alterity Therapeutics Limited: Setting New Standards in Neurological ...,https://www.claytoncountyregister.com/news2/alterity-therapeutics-limited-setting-new-standards-in-neurological-research/339764/,"The <b>research</b> conducted by Alterity <b>Therapeutics</b> has shown promising results. In preclinical studies, ATH434 has been found to reduce iron levels in the brain and protect against neurodegeneration. These findings have paved the way for clinical trials, which are currently underway to evaluate the safety and efficacy of ATH434 in patients with ...",positive,0.8993552923202515
27,"COVID-19 Vaccines &amp; Therapeutics Market Size, Regional ... - LinkedIn",https://www.linkedin.com/pulse/covid-19-vaccines-therapeutics-market-bjkaf,"The COVID-19 Vaccines &amp; <b>Therapeutics</b> Market Insights of 2023 is an extensive and comprehensive report that provides a complete analysis of the market&#39;s size, shares, revenues, various segments ...",neutral,0.9289371371269226
28,2023-2030 Pediatric Epilepsy Therapeutics Market Dynamics: Top Players ...,https://www.digitaljournal.com/pr/news/prwirecenter/2023-2030-pediatric-epilepsy-therapeutics-market-dynamics-top-players-growth-factors-and-forecasted-prospects,“Final Report will add the analysis of the impact of COVID-19 on this industry.” Our latest global “Pediatric Epilepsy <b>Therapeutics</b> Market” <b>research</b> report pages for the period spanning ...,neutral,0.9230480194091797
29,Eosinophilia Therapeutics Market on a 6% CAGR Journey from 2023 to 2033 ...,https://www.fmiblog.com/2023/10/30/eosinophilia-therapeutics-market-on-a-6-cagr-journey-from-2023-to-2033-future-market-insightsinc/,The Eosinophilia <b>therapeutics</b> market is expected to grow at a value of 6% CAGR in the forecast period 2023-2033. ... Europe is expected to possess 38% market share for eosinophilia <b>therapeutics</b> market. “Increase in <b>research</b> and development activities along with growing awareness regarding the ailment is spurring the growth of Eosinophilia ...,positive,0.9324361681938171
