id,Title,URL,Description,sentiment,confidence
0,"EU tech policies on China negative for trade, economic ties",https://www.globaltimes.cn/page/202310/1300790.shtml,"EU <b>tech</b> policies on China negative for <b>trade</b>, economic ties. By GT staff reporters Published: Oct 29, 2023 09:07 PM.",negative,0.5111287236213684
1,Economy of China - Wikipedia,https://en.wikipedia.org/wiki/Economy_of_China,"China is a net importer of services products. [42] It is the largest <b>trading</b> nation in the world and plays a prominent role in international <b>trade</b>. [43] [44] China is the largest recipient of foreign direct investment in the world as of 2020, receiving inflows of $163 billion. [45]",neutral,0.7304314970970154
2,India proposes WTO roadmap for transfer of climate-friendly tech,https://www.fortuneindia.com/enterprise/india-proposes-wto-roadmap-for-transfer-of-climate-friendly-tech/114594,India has proposed a roadmap before the World <b>Trade</b> Organisation (WTO) to facilitate the development and transfer of environmentally sound <b>technology</b> (EST) among WTO member countries to address the challenges of climate change. In a communication to WTO&#39;s Working Group on <b>Trade</b> and Transfer of <b>Technology</b> Council for <b>Trade</b>-Related Aspects of ...,positive,0.6836025714874268
3,Xiaomi&#39;s HyperOS and Huawei&#39;s HarmonyOS are in a Race to Redefine ...,https://www.gizmochina.com/2023/10/30/xiaomi-hyperos-huawei-harmonyos-redefine-tech/,"Anubhav. -. Oct 30, 2023. China ‘s <b>tech</b> behemoths, Xiaomi and Huawei, are paving their way through the operating system maze. Both companies are intensifying efforts to integrate their diverse ...",positive,0.8328509330749512
4,India pitches for clear definition of e-commerce trade in goods ...,https://www.financialexpress.com/policy/economy-india-pitches-for-clear-definition-of-e-commerce-trade-in-goods-services-in-wto-3290315/,India has asked the WTO members to work on a clear definition of e-commerce <b>trade</b> in goods and services as it would help provide developing countries a policy space to make decisions on the fast ...,positive,0.7298340797424316
5,Missed BINANCE Don’t Missed OTX-Open Trade Exchange,https://techbullion.com/missed-binance-dont-missed-otx-open-trade-exchange/,"A New Paradigm: Features that Set OTX Apart. 1. Decentralized Governance: One of the standout features of OTX Exchange is its commitment to decentralization. Unlike centralized exchanges, where decisions are top-down, OTX leverages blockchain <b>technology</b> to involve the community in key decisions, giving users a true sense of ownership and control.",neutral,0.8072715997695923
6,J.P. Morgan Is Looking for the Silver Lining in the Current Market ...,https://www.nasdaq.com/articles/j.p.-morgan-is-looking-for-the-silver-lining-in-the-current-market-headwinds-here-are-2,"Stocks PVH -3.59% J.P. Morgan Is Looking for the Silver Lining in the Current Market Headwinds — Here Are 2 Stocks the Banking Giant Likes Right Now October 29, 2023 — 10:18 pm EDT Written by...",neutral,0.9335075616836548
7,"Silver Prices Forecast: Traders Balancing Geopolitical Tensions, Fed ...",https://www.fxempire.com/forecasts/article/silver-prices-forecast-traders-balancing-geopolitical-tensions-fed-uncertainty-1384780,"Article Silver Prices Forecast: Traders <b>Balancing</b> Geopolitical Tensions, Fed Uncertainty By: James Hyerczyk Published: Oct 30, 2023, 00:11 PDT • 2min read As XAG/USD traders weigh the...",neutral,0.862345814704895
8,TaMo shares dip before Q2 results. Experts give &#39;buy&#39; on Tata Tech IPO ...,https://www.livemint.com/market/stock-market-news/tata-motors-shares-dip-before-q2-results-experts-give-buy-ahead-of-tata-technplogies-ipo-launch-11698648896781.html,"Tata Motors, HCL <b>Tech</b>, Persistent among 12 <b>technical</b> picks for next 3-4 weeks. Tata Motors share price outlook. Advising &#39;buy on dips&#39; strategy to Indian stock market investors, Avinash Gorakshkar ...",neutral,0.7166460156440735
9,"Dividend stocks: Hindustan Unilever, Nestle India, Tech Mahindra, Asian ...",https://www.zeebiz.com/markets/stocks/news-dividend-stocks-hindustan-unilever-hul-nestle-india-tech-mahindra-asian-paints-coforge-laurus-labs-ex-date-record-date-payment-date-this-week-today-261832,"Dividend stocks today, October 30: A total of 18 stocks will <b>trade</b> ex-dividend this week, according to the NSE website. The list includes Hindustan Unilever, Nestle India, <b>Tech</b> Mahindra, Asian Paints, Coforge and other stocks. Ex-date on October 30, 2023 Ramkrishna Forgings dividend Ramkrishna Forgings has announced an interim dividend of Re 1 per equity share with a face value of Rs 2.",neutral,0.9447869062423706
10,"EU tech policies on China negative for trade, economic ties",https://www.globaltimes.cn/page/202310/1300790.shtml,"EU <b>tech</b> policies on China negative for trade, economic ties By GT staff reporters Published: Oct 29, 2023 09:07 PM A staffer charges an electric vehicle (EV) using a mobile charging pile at the...",neutral,0.6904306411743164
11,"These Chinese tech stocks offer a &#39;lot of value,&#39; says Dan Ives, tech ...",https://www.cnbc.com/2023/10/30/these-chinese-tech-stocks-offer-a-lot-of-value-says-dan-ives-tech-analyst.html,"There’s a ‘game of thrones’ in AI, but these China <b>tech</b> giants offer real value, <b>tech</b> veteran says. Published Sun, Oct 29 20237:16 PM EDT. Amala Balakrishner @_amalabk.",neutral,0.8916422128677368
